ID,NA_Sales,EU_Sales,JP_Sales,Other_Sales
5617,1.84,0.56,0,0.09
11397,0.13,0.1,0,0.03
8987,0.11,0.07,0.29,0.03
18634,0.04,0,0,0
7969,0.27,0.32,0,0.1
15033,0.09,0.02,0,0
6690,0.09,0.84,0.11,0.15
14216,0.12,0,0,0.01
18190,0,0.05,0,0
10555,0,0,0.33,0
5021,10.83,2.71,4.18,0.42
7088,0.37,0.31,0.12,0.19
5614,0.13,0.07,0.26,2.05
13609,0.03,0.01,0.11,0
19551,0,0.02,0,0.01
10360,0.13,0.15,0,0.06
7121,0.34,0.41,0.06,0.18
9752,0,0,0.41,0
11954,0.18,0.03,0,0.02
11970,0.18,0.05,0,0.01
19669,0.03,0,0,0
18171,0,0,0.05,0
9545,0.17,0.01,0.23,0.02
12552,0,0,0.2,0
7768,0.36,0.3,0.02,0.06
18548,0.04,0,0,0
13845,0.04,0.07,0.03,0.01
13980,0,0,0.15,0
6347,0.91,0.39,0,0.13
10906,0.15,0.12,0,0.03
21273,0,0.01,0,0
13399,0.15,0,0,0.01
9812,0.22,0.15,0,0.03
18133,0.04,0.01,0,0
15454,0.05,0.04,0,0.02
11449,0,0,0.26,0
9802,0.2,0.15,0,0.05
21056,0,0,0.01,0
15426,0.1,0,0,0.01
17436,0,0,0.06,0
17470,0.06,0,0,0
17788,0.03,0.02,0,0.01
11732,0.19,0.01,0.03,0.02
14545,0,0,0.13,0
14181,0,0,0.14,0
10461,0.13,0.15,0,0.05
8845,0.29,0.2,0,0.03
7400,0.48,0.37,0,0.02
20781,0,0.01,0,0
12090,0.06,0.05,0.1,0.02
5755,1.23,0.83,0,0.1
18027,0.04,0.01,0,0
9015,0.46,0.03,0,0.01
14723,0.06,0.05,0,0.02
17746,0.03,0.02,0,0.01
15880,0.07,0.02,0,0
6700,0.64,0.24,0.29,0.02
17987,0,0,0.05,0
17664,0,0,0.06,0
13187,0.1,0.07,0,0.01
19654,0,0.02,0,0
16874,0.04,0.03,0,0
20200,0,0.02,0,0
11525,0.21,0.05,0,0
14799,0.11,0,0,0.01
7059,0.65,0.14,0.21,0
8281,0,0,0.58,0.04
9731,0.2,0.16,0,0.05
19468,0,0,0.03,0
19544,0.02,0.01,0,0
9445,0.4,0.01,0,0.03
19548,0,0,0.03,0
10703,0.18,0.12,0,0.02
12071,0.11,0.09,0,0.03
16910,0,0,0.07,0
19483,0.03,0,0,0
11536,0.1,0.14,0,0.02
8539,0.32,0.2,0,0.05
15593,0.06,0.04,0,0.01
19705,0.02,0.01,0,0
16365,0.04,0.03,0,0.01
9049,0.28,0.17,0,0.04
14490,0.06,0.05,0,0.02
9375,0.26,0.14,0.01,0.04
19229,0,0,0.03,0
11193,0.21,0.06,0,0.01
20974,0,0,0.02,0
17828,0.04,0.01,0,0
8041,0.33,0.25,0,0.09
16111,0.08,0,0,0.01
17720,0.03,0.02,0,0.01
13164,0.04,0.03,0.1,0.01
12473,0.09,0.03,0.08,0
5937,1.26,0.18,0.35,0.06
14068,0.07,0.05,0,0.02
6140,0.79,0.62,0,0.21
18803,0.03,0.01,0,0
7164,0.41,0.33,0.09,0.12
8835,0.29,0.2,0,0.03
19000,0.03,0.01,0,0
8055,0.55,0.02,0,0.09
15926,0.07,0.02,0,0
10193,0.33,0,0,0.03
14237,0.07,0.03,0.02,0.02
19607,0.03,0,0,0
21133,0,0,0.01,0
21412,0,0,0.01,0
6717,0.03,1.06,0,0.09
18972,0,0,0.04,0
14108,0,0.11,0,0.03
5090,2.9,2.83,0.24,1.75
10602,0,0,0.3,0.02
5357,2.18,1.02,0.03,0.37
13653,0.15,0,0,0.01
12094,0,0,0.23,0
15727,0.09,0,0,0.01
8961,0.39,0.1,0,0.01
14730,0.06,0.05,0,0.02
8972,0.43,0.03,0,0.04
19464,0,0,0.03,0
7360,0.6,0.21,0,0.08
13818,0.12,0.03,0,0
12631,0.18,0,0,0.02
7958,0.38,0.26,0,0.05
6466,1.27,0.05,0,0.02
20734,0.01,0,0,0
7505,0.72,0.02,0,0.09
10807,0.22,0.06,0,0.02
14918,0.02,0.03,0.05,0.01
13026,0,0,0.18,0
12681,0.11,0.07,0,0.01
7813,0.54,0.16,0,0.03
9481,0,0,0.44,0
8097,0.32,0.22,0.01,0.1
20154,0,0,0.02,0
6823,0.84,0.2,0.01,0.08
18889,0.03,0,0,0
16101,0.08,0,0,0.01
14115,0.11,0.03,0,0.01
18003,0.05,0,0,0
15819,0.07,0.02,0,0
16758,0.07,0,0,0.01
20438,0,0,0.02,0
9880,0.26,0.11,0,0.02
6478,0.43,0.4,0.32,0.18
12061,0.2,0.02,0,0.02
16232,0,0,0.09,0
17531,0.03,0.02,0,0.01
18245,0,0,0.05,0
10661,0.1,0.14,0.02,0.06
13297,0,0,0.16,0.01
7818,0.36,0.28,0,0.09
10140,0.33,0,0,0.03
9315,0.42,0,0,0.03
7910,0.65,0,0,0.05
12273,0.16,0.06,0,0
9940,0.19,0.15,0,0.05
9322,0,0,0.45,0
13816,0.11,0.03,0,0.01
16006,0.02,0.05,0,0.02
15888,0.08,0,0,0.01
16110,0,0,0.09,0
19286,0,0,0.03,0
19513,0,0,0.03,0
8534,0.52,0.01,0,0.04
6420,0.55,0.6,0,0.22
11303,0.15,0.1,0,0.02
17465,0,0.05,0,0.01
20552,0,0,0.02,0
13142,0.14,0.04,0,0
9787,0.34,0.03,0.01,0.03
15045,0.06,0.04,0,0.01
7221,0.16,0.58,0,0.2
8472,0.33,0.22,0,0.03
5451,2.5,0.16,0.01,0.42
21002,0,0,0.01,0
18022,0,0,0.05,0
15617,0.05,0.04,0,0.01
15493,0.09,0,0,0.01
19699,0,0,0.03,0
20614,0,0,0.02,0
5243,1.96,1.69,0.08,0.74
15019,0.09,0.02,0,0
9815,0,0,0.4,0
6205,1.55,0,0,0
8094,0.38,0.22,0,0.06
9556,0.33,0.08,0,0.01
7313,0.65,0.22,0,0.03
6945,0,0,0.99,0.07
10107,0.21,0.13,0,0.03
16828,0.04,0.03,0,0.01
12535,0,0,0.2,0
17094,0.01,0.04,0,0.01
19133,0.03,0.01,0,0
21555,0,0.01,0,0
18727,0,0,0.04,0
20861,0,0,0.02,0
20279,0.02,0,0,0
13510,0,0,0.16,0
11307,0.15,0.1,0,0.02
17795,0.04,0.01,0,0
17274,0.05,0.01,0,0
15861,0.05,0.04,0,0.01
11267,0.25,0,0,0.02
8737,0.35,0.14,0,0.05
18435,0.04,0,0,0.01
5699,0,0,2.28,0
17108,0,0.06,0,0.01
7076,0.89,0.04,0,0.06
15666,0.07,0.03,0,0
11839,0.16,0.01,0.05,0.02
8279,0,0,0.62,0
6651,1.01,0.04,0,0.16
15247,0,0,0.11,0
18349,0,0,0.05,0
8372,0,0,0.6,0
21191,0,0.01,0,0
6052,0.49,1.12,0,0.09
8318,0.44,0.16,0,0.01
12270,0.16,0.06,0,0
8836,0.44,0.04,0,0.04
19497,0.03,0,0,0
12136,0.2,0.01,0,0.02
8921,0.08,0.28,0,0.15
19519,0.01,0.01,0,0
9738,0,0,0.38,0.03
6782,0.64,0.43,0,0.07
18820,0,0,0.04,0
17871,0.05,0,0,0
7238,0.54,0.31,0,0.08
18321,0,0.04,0,0.01
11775,0,0,0.23,0.02
8457,0.21,0.3,0,0.07
14497,0.12,0,0,0.01
18867,0,0.04,0,0
18236,0.02,0.02,0,0.01
20928,0,0,0.02,0
16088,0.04,0.04,0,0.01
13778,0.07,0.06,0,0.02
9113,0.44,0.01,0,0.03
12588,0.14,0.05,0,0
11803,0,0,0.23,0.02
20720,0.01,0,0,0
12824,0,0,0.19,0
11115,0,0,0.28,0
8443,0,0,0.55,0.04
10436,0.25,0.07,0,0.01
14529,0.12,0,0,0.01
16855,0,0,0.07,0
8323,0.33,0.21,0,0.06
18815,0.02,0.01,0,0
19019,0.03,0.01,0,0
14023,0.07,0.06,0,0.02
9174,0,0,0.46,0.01
8295,0.35,0.21,0,0.05
20870,0.01,0,0,0
20007,0,0.02,0,0
11878,0.13,0.09,0,0.02
9660,0.16,0,0.25,0.01
13678,0,0,0.16,0
18108,0,0.04,0,0.01
14506,0.07,0.05,0,0.01
14390,0.1,0.03,0,0
16799,0,0,0.07,0
16550,0.03,0.04,0,0.01
17230,0.03,0.02,0,0.01
20555,0,0,0.02,0
6208,1.06,0.35,0.01,0.12
7966,0.55,0.08,0,0.06
19879,0.02,0,0,0
12447,0.1,0.08,0,0.03
19962,0,0.02,0,0
17482,0.05,0.01,0,0
17298,0,0.06,0,0
13570,0.11,0.01,0.03,0.01
19245,0.02,0.01,0,0
8408,0.55,0.03,0,0.01
16140,0.01,0.07,0,0.01
7180,0.46,0.39,0,0.1
11324,0.19,0.07,0,0
21209,0.01,0,0,0
11061,0.27,0,0,0.02
18485,0.04,0,0,0
6337,0.33,0.79,0.08,0.23
7329,0.32,0.42,0.01,0.14
7081,0.64,0.28,0,0.08
15525,0,0,0.1,0
20941,0,0.01,0,0
11694,0,0.21,0,0.04
11479,0.24,0,0,0.02
6260,0.46,0.1,0.92,0.02
18960,0.03,0.01,0,0
13196,0,0,0.18,0
14153,0.11,0.03,0,0
19407,0,0.03,0,0.01
8734,0.39,0.14,0,0.01
17196,0,0.06,0,0.01
8226,0,0,0.59,0.04
14268,0.12,0.01,0,0.01
20674,0.01,0,0,0
17583,0.05,0.01,0,0.01
10925,0.28,0,0,0.02
13663,0.08,0.06,0,0.02
13205,0.13,0.02,0.01,0.01
17722,0.03,0.02,0,0
6818,0.55,0.43,0,0.14
16796,0,0,0.07,0
20139,0,0.02,0,0
16275,0.08,0,0,0
8808,0.41,0.11,0,0.01
18644,0.03,0.01,0,0
9050,0,0,0.49,0
15543,0,0,0.1,0
18286,0.04,0,0,0
14438,0,0,0.13,0
15602,0,0,0.1,0
11459,0.13,0.07,0,0.06
19970,0,0,0.02,0
5979,0.85,0.76,0,0.16
15795,0,0,0.09,0.01
20716,0,0,0.02,0
16990,0,0,0.07,0
7270,0.45,0.27,0.11,0.09
21201,0.01,0,0,0
15181,0.08,0.02,0,0.01
8267,0.27,0.18,0.09,0.08
13646,0.07,0.07,0,0.01
13908,0,0,0.15,0
5192,3.59,1.11,0.05,0.38
9385,0.4,0.02,0,0.03
8653,0.47,0.04,0,0.04
16123,0.04,0.01,0.04,0
5475,1.36,0.86,0.64,0.13
10531,0.3,0,0,0.02
14689,0.12,0,0,0.01
13070,0,0.16,0,0.02
6820,0.63,0.37,0.02,0.1
18649,0,0,0.04,0
19004,0.02,0.01,0,0
12502,0.17,0.01,0,0.02
9008,0.41,0.02,0,0.07
7371,0.43,0.33,0,0.11
16575,0.07,0,0,0.01
7245,0.45,0.35,0,0.12
8006,0.13,0.52,0,0.02
12866,0,0,0.19,0
18579,0,0,0.04,0
5736,1.11,0.51,0.34,0.23
19395,0.01,0.01,0,0
15399,0,0,0.11,0
10099,0.34,0,0,0.03
13762,0.05,0.09,0,0.02
12452,0.03,0.13,0,0.05
5029,9.03,4.28,0.13,1.32
13171,0.13,0.05,0,0
8707,0.15,0.3,0,0.09
14302,0.12,0,0,0.01
6887,0.64,0.28,0.04,0.13
5154,2.49,2.05,0.16,0.96
6008,0.7,0.13,0.91,0.01
16107,0,0.07,0,0.01
5878,1.94,0,0,0
9943,0.22,0.14,0,0.03
15704,0.08,0.02,0,0
15977,0.06,0.02,0,0.01
8373,0.4,0.13,0,0.07
6821,0.36,0.33,0.28,0.15
8203,0.49,0.13,0,0.01
8228,0.11,0.03,0.15,0.34
6505,0.78,0.45,0,0.07
17408,0,0.05,0,0.01
18228,0,0.04,0,0.01
10112,0.18,0.14,0,0.05
20699,0,0.01,0,0
7953,0.24,0.33,0,0.12
10501,0.17,0.06,0.09,0.01
16065,0,0,0.09,0
13170,0.13,0.05,0,0
16829,0.06,0.01,0,0
10002,0.22,0.12,0,0.03
7317,0.29,0.52,0,0.09
9035,0.45,0,0,0.03
16041,0.04,0.03,0,0.01
14351,0.1,0.03,0,0
11757,0.18,0.07,0,0
21365,0.01,0,0,0
8240,0.35,0.24,0,0.04
14087,0.06,0.03,0.03,0.02
19433,0.03,0,0,0
17354,0.04,0.02,0,0
17106,0.05,0.01,0,0
13805,0.12,0.02,0,0.02
18895,0.04,0,0,0
12508,0.07,0.11,0,0.02
5862,0.71,0.58,0.51,0.17
9162,0.37,0.04,0.03,0.04
10581,0,0,0.32,0
5316,0.87,1.57,1.05,0.35
11503,0.14,0.09,0,0.02
9734,0.13,0.09,0.16,0.03
10031,0.07,0.05,0.25,0.02
15267,0.1,0,0,0.01
14827,0.08,0.03,0,0.01
20496,0,0,0.02,0
7856,0.19,0.53,0,0
10285,0.13,0.18,0,0.04
5613,2.29,0.02,0,0.19
12864,0.15,0.04,0,0
11499,0.13,0.1,0,0.03
9947,0.24,0.11,0,0.04
9426,0.4,0.01,0.02,0
17898,0.04,0.01,0,0
11522,0.21,0.05,0,0
10438,0.16,0.13,0,0.04
15641,0.08,0.02,0,0
7072,0.13,0.1,0.74,0.03
8749,0.04,0.01,0.48,0
11251,0.22,0.03,0,0.03
15485,0.05,0.04,0,0.01
20601,0,0.01,0,0
17394,0,0,0.06,0
9095,0.23,0.19,0.01,0.05
11031,0.1,0.03,0.14,0.02
6657,0.66,0.17,0.35,0.03
9482,0.4,0,0,0.03
14069,0.12,0.01,0,0.01
21407,0,0,0.01,0
21083,0,0,0.01,0
12496,0.15,0.04,0,0.02
14964,0.06,0.04,0,0.01
15796,0.09,0,0,0.01
20838,0.02,0,0,0
9748,0.2,0.16,0,0.05
16795,0,0,0.07,0
20750,0.01,0,0,0
19982,0,0.02,0,0
19104,0,0.03,0,0
12101,0.18,0.03,0,0.02
5177,1.22,2.48,1.03,0.52
13318,0,0,0.17,0
14819,0,0,0.05,0.07
6706,0.48,0.25,0.36,0.1
21368,0,0,0.01,0
11277,0.14,0.11,0,0.03
15009,0.06,0.04,0,0.01
15306,0.06,0.04,0,0.01
16816,0,0,0.07,0
20501,0.02,0,0,0
6255,1.41,0.05,0,0.04
8772,0.26,0.21,0,0.06
11349,0,0,0.27,0
20851,0.01,0,0,0
10622,0.18,0.11,0,0.03
6587,0,0,1.25,0
20580,0.02,0,0,0
19961,0,0,0.02,0
11306,0,0,0.27,0
11902,0.13,0.09,0,0.02
14491,0.12,0,0,0.01
17956,0,0,0.05,0
8651,0.29,0.15,0.04,0.07
6167,0.88,0.6,0,0.1
9974,0.38,0,0,0
10708,0.29,0,0,0.02
20952,0,0,0.02,0
11375,0.15,0.09,0,0.03
5953,1.73,0.07,0,0.02
20436,0,0.01,0,0
13991,0.13,0,0.01,0.01
9296,0,0,0.45,0.01
19636,0.03,0,0,0
7596,0.74,0.04,0,0.01
7860,0.66,0,0,0.05
13929,0.11,0.03,0,0.01
15822,0,0,0.09,0.01
9867,0.01,0.32,0,0.07
7832,0.4,0.27,0,0.05
6866,0.54,0.21,0.31,0.04
15229,0,0,0.11,0
5004,11.27,8.89,10.22,1
19436,0,0,0.03,0
15711,0,0,0.1,0
12645,0.14,0.02,0.02,0.02
17483,0.06,0,0,0
18351,0.04,0.01,0,0
8399,0,0,0.55,0.04
15791,0.05,0.02,0.02,0
7943,0.42,0.21,0,0.06
11362,0.13,0.12,0,0.02
19408,0,0.03,0,0
13099,0.14,0.04,0,0
14837,0.07,0,0.04,0.01
14372,0.12,0,0,0.01
11604,0,0,0.26,0
13292,0.08,0.07,0,0.02
13109,0.13,0.05,0,0
18467,0.04,0,0,0
12001,0.11,0.09,0,0.03
5152,2.26,1.89,1.36,0.23
8077,0.43,0.2,0,0.03
16988,0.06,0,0,0.01
5100,3.83,2.19,0.6,0.7
20355,0,0,0.02,0
12963,0.09,0.07,0,0.02
12415,0.17,0.04,0,0
9866,0.22,0.12,0,0.06
15095,0.07,0.03,0,0.02
20741,0,0.01,0,0
18540,0.03,0.01,0,0
8720,0.39,0.1,0.01,0.04
9418,0.3,0.11,0,0.04
19728,0,0.02,0,0
8425,0.18,0.34,0,0.07
7308,0.27,0.36,0.05,0.22
12264,0.19,0.01,0,0.02
6185,0.77,0.6,0,0.2
10402,0.17,0.13,0,0.04
7912,0.54,0.1,0,0.06
13775,0.12,0.01,0.02,0.01
18343,0.04,0,0,0
16207,0.08,0,0,0
6025,0.85,0.66,0,0.22
8971,0.34,0.12,0,0.04
10271,0.08,0.06,0.19,0.02
12657,0.12,0.06,0,0.02
7753,0.31,0.31,0.01,0.12
14934,0.08,0.03,0,0
17505,0.05,0.01,0,0
19655,0,0.02,0,0
10018,0,0,0.36,0.02
15994,0.06,0.02,0,0.02
14777,0.1,0.01,0,0.01
19977,0,0,0.02,0
13492,0,0.14,0,0.02
15343,0.1,0,0,0.01
10497,0.3,0,0,0.03
21019,0,0,0.01,0
20888,0,0.01,0,0
20362,0.01,0.01,0,0
8314,0.56,0,0,0.05
14852,0.08,0.02,0,0.02
17318,0.06,0,0,0
12252,0.07,0.06,0.07,0.01
9476,0.28,0.11,0.01,0.03
13532,0.11,0.03,0,0.01
21290,0,0,0.01,0
16213,0.07,0.02,0,0
15448,0,0,0.1,0
12953,0.13,0.05,0,0
6744,0.97,0.04,0,0.16
5481,1.57,0.04,1.19,0.15
17874,0,0,0.05,0
20702,0,0,0.02,0
19087,0,0,0.04,0
7882,0,0,0.71,0
9124,0.18,0.24,0,0.05
8316,0.32,0.23,0,0.06
21417,0.01,0,0,0
16278,0.08,0,0,0.01
21258,0,0.01,0,0
16214,0,0.07,0,0.01
13610,0,0.1,0.02,0.04
16504,0.06,0.02,0,0
5308,0.67,0.49,2.62,0.11
9114,0.44,0.04,0,0
18278,0,0,0.05,0
8988,0.11,0.25,0.01,0.13
9561,0.24,0.16,0,0.03
5336,1.3,1.51,0.27,0.61
11366,0.25,0,0,0.02
7598,0.4,0.25,0.03,0.11
